,,,,,Submission Delinquency Report
,Run Date:,,2023-01-03
,For:,,Year: 22, Period: 3, Week: 5
,Filter For all units

Sector,Unit #,Fiscal Year,Period,Week,UserName - Purchases,Date Purchases Submitted,Username - Sales,Date Sales Submitted,Data Entered (Y/N), Forced Submission
27,837,22,3,5,ORBIT_System_User,1/3/2023 12:06:29 AM,,1/1/1900 12:00:00 AM,N,Y
27,840,22,3,5,ORBIT_System_User,1/3/2023 12:06:43 AM,,1/1/1900 12:00:00 AM,N,Y
27,842,22,3,5,ORBIT_System_User,1/3/2023 12:09:12 AM,,1/1/1900 12:00:00 AM,N,Y
17,853,22,3,5,ORBIT_System_User,1/3/2023 1:51:43 AM,ORBIT_System_User,1/3/2023 1:51:43 AM,N,Y
13,862,22,3,5,ORBIT_System_User,1/3/2023 2:16:41 AM,ORBIT_System_User,1/3/2023 2:16:41 AM,N,Y
13,867,22,3,5,ORBIT_System_User,1/3/2023 2:19:56 AM,,1/1/1900 12:00:00 AM,N,Y
17,873,22,3,5,ewelina.gouveia,1/2/2023 11:43:08 PM,,1/1/1900 12:00:00 AM,N,N
27,878,22,3,5,ORBIT_System_User,1/3/2023 12:05:49 AM,,1/1/1900 12:00:00 AM,N,Y
27,880,22,3,5,ORBIT_System_User,1/3/2023 12:12:48 AM,,1/1/1900 12:00:00 AM,N,Y
27,885,22,3,5,ORBIT_System_User,1/3/2023 12:13:18 AM,,1/1/1900 12:00:00 AM,N,Y
02,1400,22,3,5,ORBIT_System_User,1/3/2023 12:03:05 AM,,1/1/1900 12:00:00 AM,N,Y
02,1600,22,3,5,ORBIT_System_User,1/3/2023 1:51:46 AM,,1/1/1900 12:00:00 AM,N,Y
02,1700,22,3,5,ORBIT_System_User,1/3/2023 1:51:47 AM,ORBIT_System_User,1/3/2023 1:51:47 AM,N,Y
27,1800,22,3,5,ORBIT_System_User,1/3/2023 1:51:48 AM,ORBIT_System_User,1/3/2023 1:51:48 AM,N,Y
07,2012,22,3,5,ORBIT_System_User,1/3/2023 2:17:42 AM,,1/1/1900 12:00:00 AM,N,Y
07,2020,22,3,5,ORBIT_System_User,1/3/2023 1:51:50 AM,,1/1/1900 12:00:00 AM,N,Y
07,2035,22,3,5,ORBIT_System_User,1/3/2023 1:51:50 AM,,1/1/1900 12:00:00 AM,N,Y
07,2036,22,3,5,ORBIT_System_User,1/3/2023 12:03:18 AM,ORBIT_System_User,1/3/2023 12:03:17 AM,N,Y
07,2044,22,3,5,sandra.soucy,1/2/2023 12:17:06 PM,sandra.soucy,1/2/2023 12:17:18 PM,N,N
07,2045,22,3,5,ORBIT_System_User,1/3/2023 1:51:51 AM,,1/1/1900 12:00:00 AM,N,Y
07,2070,22,3,5,sean.walden,12/30/2022 10:56:33 AM,,1/1/1900 12:00:00 AM,Y,N
07,2080,22,3,5,ORBIT_System_User,1/3/2023 1:51:54 AM,ORBIT_System_User,1/3/2023 1:51:54 AM,N,Y
07,2085,22,3,5,,1/1/1900 12:00:00 AM,,1/1/1900 12:00:00 AM,N,N
01,2250,22,3,5,ORBIT_System_User,1/3/2023 2:21:55 AM,,1/1/1900 12:00:00 AM,N,Y
01,2500,22,3,5,ORBIT_System_User,1/3/2023 1:51:56 AM,ORBIT_System_User,1/3/2023 1:51:56 AM,N,Y
25,2505,22,3,5,,1/1/1900 12:00:00 AM,,1/1/1900 12:00:00 AM,N,N
02,2600,22,3,5,ORBIT_System_User,1/3/2023 1:51:56 AM,,1/1/1900 12:00:00 AM,N,Y
01,2800,22,3,5,ORBIT_System_User,1/3/2023 1:51:58 AM,ORBIT_System_User,1/3/2023 1:51:57 AM,N,Y
03,3700,22,3,5,ORBIT_System_User,1/3/2023 1:52:01 AM,ORBIT_System_User,1/3/2023 1:52:01 AM,N,Y
03,3750,22,3,5,ORBIT_System_User,1/3/2023 1:52:02 AM,,1/1/1900 12:00:00 AM,N,Y
32,3760,22,3,5,ORBIT_System_User,1/3/2023 12:15:34 AM,,1/1/1900 12:00:00 AM,N,Y
03,3900,22,3,5,ORBIT_System_User,1/3/2023 1:52:03 AM,,1/1/1900 12:00:00 AM,N,Y
11,4350,22,3,5,lise.lamontagne,12/30/2022 6:41:35 AM,lise.lamontagne,12/30/2022 6:41:22 AM,Y,N
11,4500,22,3,5,ORBIT_System_User,1/3/2023 1:52:04 AM,ORBIT_System_User,1/3/2023 1:52:04 AM,N,Y
11,4700,22,3,5,sandra.soucy,1/2/2023 12:17:36 PM,sandra.soucy,1/2/2023 12:17:49 PM,N,N
05,5000,22,3,5,ORBIT_System_User,1/3/2023 12:05:22 AM,ORBIT_System_User,1/3/2023 12:05:22 AM,N,Y
01,5100,22,3,5,ORBIT_System_User,1/3/2023 1:52:06 AM,ORBIT_System_User,1/3/2023 1:52:06 AM,N,Y
02,5120,22,3,5,,1/1/1900 12:00:00 AM,,1/1/1900 12:00:00 AM,N,N
19,5160,22,3,5,ORBIT_System_User,1/3/2023 2:32:49 AM,,1/1/1900 12:00:00 AM,N,Y
02,5170,22,3,5,,1/1/1900 12:00:00 AM,,1/1/1900 12:00:00 AM,N,N
27,5182,22,3,5,ORBIT_System_User,1/3/2023 12:06:01 AM,,1/1/1900 12:00:00 AM,N,Y
01,5230,22,3,5,ORBIT_System_User,1/3/2023 12:04:02 AM,ORBIT_System_User,1/3/2023 12:04:02 AM,N,Y
32,5240,22,3,5,ORBIT_System_User,1/3/2023 2:19:55 AM,,1/1/1900 12:00:00 AM,N,Y
